[Epoch 0]	Learning rate: 1.00e-4
[57600/80000]	[MSE: 0.0000518253]	31.9+6.4s
[59200/80000]	[MSE: 0.0000518263]	31.7+6.3s
[60800/80000]	[MSE: 0.0000518209]	31.9+6.3s
[62400/80000]	[MSE: 0.0000518384]	31.8+6.3s
[64000/80000]	[MSE: 0.0000518310]	31.8+6.2s
[65600/80000]	[MSE: 0.0000518593]	31.8+6.2s
[67200/80000]	[MSE: 0.0000518497]	31.8+6.3s
[68800/80000]	[MSE: 0.0000518157]	31.5+6.3s
[70400/80000]	[MSE: 0.0000517979]	30.4+6.3s
[72000/80000]	[MSE: 0.0000518121]	30.3+6.4s
[73600/80000]	[MSE: 0.0000518183]	30.4+6.4s
[75200/80000]	[MSE: 0.0000518021]	30.2+6.4s
[76800/80000]	[MSE: 0.0000517542]	30.2+6.5s
[78400/80000]	[MSE: 0.0000517151]	30.4+6.4s
[80000/80000]	[MSE: 0.0000516822]	30.3+6.4s

Evaluation:
[DenoiseColorSet68 x1]	PSNR: 29.771 (Best: 29.771 @self.epoch 3)
Forward: 195.11s

Saving...
Total: 195.38s

[Epoch 3]	Learning rate: 1.00e-4
[1600/80000]	[MSE: 0.0000508324]	32.1+6.6s
[3200/80000]	[MSE: 0.0000521202]	32.2+6.5s
[4800/80000]	[MSE: 0.0000513695]	31.8+6.4s
[6400/80000]	[MSE: 0.0000514962]	31.3+6.3s
[8000/80000]	[MSE: 0.0000511744]	31.8+6.3s
[9600/80000]	[MSE: 0.0000510763]	31.7+6.3s
[11200/80000]	[MSE: 0.0000509851]	31.8+6.3s
[12800/80000]	[MSE: 0.0000507083]	31.9+6.3s
[14400/80000]	[MSE: 0.0000509627]	31.2+6.4s
[16000/80000]	[MSE: 0.0000508194]	30.2+6.3s
[17600/80000]	[MSE: 0.0000508901]	30.2+6.3s
[19200/80000]	[MSE: 0.0000508281]	30.3+6.3s
[20800/80000]	[MSE: 0.0000510196]	30.3+6.3s
[22400/80000]	[MSE: 0.0000510005]	30.1+6.3s
[24000/80000]	[MSE: 0.0000510138]	29.9+6.3s
[25600/80000]	[MSE: 0.0000510406]	29.8+6.3s
[27200/80000]	[MSE: 0.0000510781]	29.9+6.3s
[28800/80000]	[MSE: 0.0000510572]	30.0+6.2s
[30400/80000]	[MSE: 0.0000510703]	30.5+6.4s
[32000/80000]	[MSE: 0.0000509976]	30.8+6.5s
[33600/80000]	[MSE: 0.0000509893]	30.7+6.5s
[35200/80000]	[MSE: 0.0000509132]	30.9+6.5s
[36800/80000]	[MSE: 0.0000509165]	30.7+6.6s
[38400/80000]	[MSE: 0.0000509665]	30.8+6.6s
[40000/80000]	[MSE: 0.0000509395]	30.7+6.6s
[41600/80000]	[MSE: 0.0000509635]	32.0+6.5s
[43200/80000]	[MSE: 0.0000509066]	32.3+6.5s
[44800/80000]	[MSE: 0.0000508659]	31.7+6.5s
[46400/80000]	[MSE: 0.0000508190]	31.1+6.3s
[48000/80000]	[MSE: 0.0000508111]	31.9+6.2s
[49600/80000]	[MSE: 0.0000507970]	31.9+6.2s
[51200/80000]	[MSE: 0.0000508117]	31.2+6.3s
[52800/80000]	[MSE: 0.0000507875]	30.4+6.4s
[54400/80000]	[MSE: 0.0000507659]	30.3+6.3s
[56000/80000]	[MSE: 0.0000507850]	30.3+6.3s
[57600/80000]	[MSE: 0.0000507917]	30.2+6.3s
[59200/80000]	[MSE: 0.0000507474]	30.3+6.4s
[60800/80000]	[MSE: 0.0000507423]	30.4+6.3s
[62400/80000]	[MSE: 0.0000507123]	30.3+6.3s
[64000/80000]	[MSE: 0.0000506815]	30.3+6.3s
[65600/80000]	[MSE: 0.0000506961]	30.3+6.3s
[67200/80000]	[MSE: 0.0000506631]	30.3+6.3s
[68800/80000]	[MSE: 0.0000506567]	30.2+6.4s
[70400/80000]	[MSE: 0.0000505997]	30.4+6.4s
[72000/80000]	[MSE: 0.0000506082]	30.7+6.4s
[73600/80000]	[MSE: 0.0000506064]	31.8+6.5s
[75200/80000]	[MSE: 0.0000505915]	30.8+6.4s
[76800/80000]	[MSE: 0.0000505745]	30.8+6.5s
[78400/80000]	[MSE: 0.0000505538]	31.0+6.4s
[80000/80000]	[MSE: 0.0000505467]	32.2+6.4s

Evaluation:
[DenoiseColorSet68 x1]	PSNR: 29.825 (Best: 29.825 @self.epoch 4)
Forward: 192.14s

Saving...
Total: 192.39s

[Epoch 4]	Learning rate: 1.00e-4
[1600/80000]	[MSE: 0.0000518047]	30.2+6.5s
[3200/80000]	[MSE: 0.0000519292]	30.1+6.3s
[4800/80000]	[MSE: 0.0000513136]	30.3+6.4s
[6400/80000]	[MSE: 0.0000509756]	30.1+6.4s
[8000/80000]	[MSE: 0.0000505447]	30.3+6.4s
[9600/80000]	[MSE: 0.0000502464]	30.2+6.2s
[11200/80000]	[MSE: 0.0000501934]	30.6+6.4s
[12800/80000]	[MSE: 0.0000501417]	30.6+6.5s
[14400/80000]	[MSE: 0.0000499403]	30.5+6.4s
[16000/80000]	[MSE: 0.0000500330]	30.4+6.5s
[17600/80000]	[MSE: 0.0000499613]	30.4+6.4s
[19200/80000]	[MSE: 0.0000498011]	30.4+6.6s
[20800/80000]	[MSE: 0.0000497551]	30.6+6.6s
[22400/80000]	[MSE: 0.0000496958]	30.8+6.5s
[24000/80000]	[MSE: 0.0000496340]	31.3+6.5s
[25600/80000]	[MSE: 0.0000496983]	32.4+6.5s
[27200/80000]	[MSE: 0.0000496737]	32.3+6.5s
[28800/80000]	[MSE: 0.0000496845]	32.2+6.4s
[30400/80000]	[MSE: 0.0000497258]	30.7+6.6s
[32000/80000]	[MSE: 0.0000497158]	30.8+6.5s
